;;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год;23110000100040200001 Численность постоянного населения в среднем за год
;;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.
все население;w2:p_mest:11;;;;;;;
Российская Федерация;643;146674541;146842401;146830575;146764655;146459803;145864296;146713743
Центральный федеральный округ;30;39156950;39260498;39344736;39405807;39342258;39177680;40269144
Белгородская область;14000000000;1551500;1551370;1548647;1548284;1545205;1536588;1525496
Брянская область;15000000000;1223135;1215756;1205584;1196339;1187587;1175726;1158570
Владимирская область;17000000000;1393383;1383968;1372071;1362110;1350256;1332879;1333872
Воронежская область;20000000000;2334443;2334588;2330795;2326013;2314906;2296643;2293949
Ивановская область;24000000000;1026504;1018908;1009413;1000657;992082;981974;919419
Калужская область;29000000000;1012171;1013363;1010768;1005978;1001777;1006912;1072053
Костромская область;34000000000;649804;645740;640296;635325;630903;624599;574947
Курская область;38000000000;1121456;1119065;1111139;1105524;1100248;1090036;1072594
Липецкая область;42000000000;1156157;1153211;1147118;1141703;1133782;1120936;1132202
Московская область;46000000000;7371058;7463427;7551516;7645255;7699681;7738688;8566996
Орловская область;54000000000;757268;751031;743356;736483;729091;719389;705149
Рязанская область;61000000000;1128421;1124107;1117805;1111492;1103552;1091705;1093748
Смоленская область;66000000000;955915;951273;945856;938625;928007;915491;879970
Тамбовская область;68000000000;1045311;1036939;1024759;1011357;1000584;987701;972710
Тверская область;28000000000;1300771;1290336;1276754;1265007;1252999;1237903;1218611
Тульская область;70000000000;1502930;1495636;1485337;1472472;1457621;1440843;1489080
Ярославская область;78000000000;1271324;1268210;1262648;1256501;1247407;1234403;1200121
Город Москва столица Российской Федерации город федерального значения;45000000000;12355395;12443566;12560873;12646679;12666565;12645258;13059651
Северо-Западный федеральный округ;31;13876502;13925656;13962037;13977031;13961976;13921514;13888591
Республика Карелия;86000000000;628478;624783;620269;616059;611566;606069;530131
Республика Коми;87000000000;853692;845712;835553;825353;817031;808533;730398
Архангельская область;11000000000;1169914;1160389;1149574;1140327;1131793;1120687;1010859
Ненецкий автономный округ (Архангельская область);11100000000;43888;43967;43913;43970;44250;44465;41404
